Post ID,Survey,İlçe / Mahalle,"T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü, binanızda hasar tespiti işlemi yaptı mı?",T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü'nün hasar tespit sonucu nedir?
2866,Hasarlı Bina,Bornova Atatürk mahallesi,Evet,Hafif Hasarlı
2865,Hasarlı Bina,Adalet Mahallesi / Bayraklı,Evet,Hafif Hasarlı
2864,Hasarlı Bina,KARABAĞLAR ÜÇKUYULAR MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2863,Hasarlı Bina,ÇİĞLİ/ATAŞEHİR,Hayır,Bilmiyorum / Henüz belli olmadı
2862,Hasarlı Bina,Konak Mithatpaşa,Hayır,Bilmiyorum / Henüz belli olmadı
2861,Hasarlı Bina,Karşıyaka / Bahariye Mahallesi,Evet,Hafif Hasarlı
2860,Hasarlı Bina,Goncalar mah. Karşıyaka,Evet,Orta Hasarlı
2859,Hasarlı Bina,Bostanlı /Karşıyaka,Hayır,Bilmiyorum / Henüz belli olmadı
2858,Hasarlı Bina,Alsancak Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2857,Hasarlı Bina,Aliağa / Atatürk Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2856,Hasarlı Bina,karşıyaka şemikler izmir,Hayır,Bilmiyorum / Henüz belli olmadı
2855,Hasarlı Bina,atakent yalı mahallesi 6441/1 sokak no 2,Hayır,Bilmiyorum / Henüz belli olmadı
2854,Hasarlı Bina,murat reis mahallesi 231.sokak n:23 d:5,Hayır,Bilmiyorum / Henüz belli olmadı
2853,Hasarlı Bina,Bayraklı / Tepekule Mahallesi,Evet,Hasarsız
2852,Hasarlı Bina,Bayraklı/Mansuroğlu Mah.,Evet,Hafif Hasarlı
2851,Hasarlı Bina,Karşıyaka nergiz mahallesi,Evet,Hasarsız
2850,Hasarlı Bina,"Konak, Güneşli Mahallesi",Evet,Hasarsız
2849,Hasarlı Bina,Buca,Evet,Hafif Hasarlı
2848,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2847,Hasarlı Bina,Kültür mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2846,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2845,Hasarlı Bina,Ergene mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2844,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2843,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2842,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2841,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2840,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2839,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2838,Hasarlı Bina,İmbatlı Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2837,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2836,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2835,Hasarlı Bina,ALİ ÇETİNKAYA BULV.,Hayır,Bilmiyorum / Henüz belli olmadı
2834,Hasarlı Bina,TALATPAŞA BULV.,Hayır,Bilmiyorum / Henüz belli olmadı
2833,Hasarlı Bina,Cumhuriyet Bulvarı,Hayır,Bilmiyorum / Henüz belli olmadı
2832,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2831,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2830,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2829,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2828,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2827,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2826,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2825,Hasarlı Bina,KÜÇÜKÇİĞLİ MAH,Hayır,Bilmiyorum / Henüz belli olmadı
2824,Hasarlı Bina,karabağlar Üçkuyular Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2823,Hasarlı Bina,Bayraklı / Mansuroğlu Mahallesi,Evet,Hafif Hasarlı
2822,Hasarlı Bina,Alsancak Konak,Hayır,Bilmiyorum / Henüz belli olmadı
2821,Hasarlı Bina,Karabağlar Esenyalı Mah.,Evet,Hasarsız
2820,Hasarlı Bina,Bayraklı-Mansuroğlu Mahallesi,Evet,Hafif Hasarlı
